Ýstanbul Barajlarýnýn Günlük Doluluk Oranlarý (%);;;;;;;;;;
Tarih;Ömerli;Darlik;Elmali;Terkos;Alibey;Büyükçekmece;Sazlidere;Kazandere;Pabuçdere;Istrancalar
1.01.2011;80,07%;84,86%;96,25%;91,87%;42,48%;85,99%;79,10%;93,90%;94,19%;99,99%
2.01.2011;80,07%;85,02%;96,67%;91,68%;42,71%;86,17%;79,21%;92,80%;93,11%;99,99%
3.01.2011;80,07%;85,07%;96,88%;91,68%;42,79%;86,55%;79,31%;91,39%;91,71%;99,99%
4.01.2011;80,07%;85,18%;95,00%;92,44%;43,34%;86,74%;79,96%;90,65%;90,99%;99,99%
5.01.2011;80,61%;85,98%;95,21%;92,63%;45,81%;87,30%;80,37%;90,93%;91,26%;99,99%
6.01.2011;80,92%;86,40%;96,98%;93,02%;46,70%;87,49%;80,62%;91,48%;91,80%;99,99%
7.01.2011;80,99%;86,67%;96,15%;93,21%;47,26%;87,68%;80,88%;91,58%;91,90%;99,99%
8.01.2011;80,84%;86,77%;97,40%;93,40%;47,75%;87,87%;81,06%;91,58%;91,90%;99,99%
9.01.2011;80,92%;86,93%;97,60%;93,21%;48,16%;88,05%;81,06%;91,48%;91,80%;99,99%
10.01.2011;80,76%;86,88%;97,50%;93,21%;48,33%;88,05%;81,24%;91,48%;91,80%;99,99%
11.01.2011;80,61%;86,88%;97,29%;93,02%;48,49%;88,24%;81,33%;91,21%;91,53%;99,99%
12.01.2011;80,45%;86,77%;97,50%;92,83%;48,57%;88,24%;81,33%;91,11%;91,44%;99,99%
13.01.2011;80,38%;86,67%;97,50%;92,83%;48,82%;88,24%;81,60%;90,93%;91,26%;99,99%
14.01.2011;80,22%;86,56%;97,71%;92,63%;48,82%;88,24%;81,69%;90,93%;91,26%;99,99%
15.01.2011;79,99%;86,46%;98,02%;92,63%;48,82%;88,24%;81,60%;90,93%;91,26%;99,99%
16.01.2011;79,84%;86,30%;97,40%;92,63%;48,74%;88,24%;81,60%;90,93%;91,26%;99,99%
17.01.2011;79,76%;86,19%;96,35%;93,59%;48,90%;88,62%;81,79%;91,48%;91,80%;99,99%
18.01.2011;79,60%;86,19%;96,56%;93,79%;48,82%;88,62%;81,69%;91,88%;92,20%;99,99%
19.01.2011;79,45%;86,35%;97,08%;93,79%;48,82%;88,62%;81,60%;91,98%;92,30%;99,99%
20.01.2011;79,37%;86,19%;97,40%;93,79%;48,90%;88,62%;81,69%;91,88%;92,20%;99,99%
21.01.2011;79,14%;86,14%;97,08%;93,59%;48,82%;88,62%;81,60%;91,78%;92,10%;99,99%
22.01.2011;78,99%;86,08%;97,19%;93,79%;48,82%;88,81%;81,69%;91,58%;91,90%;99,99%
23.01.2011;78,84%;86,03%;96,88%;93,59%;48,90%;88,81%;81,79%;92,08%;92,39%;99,99%
24.01.2011;78,61%;85,92%;96,77%;93,59%;48,90%;89,37%;81,79%;93,02%;93,32%;99,99%
25.01.2011;79,14%;86,67%;97,92%;94,17%;49,31%;89,93%;81,99%;93,45%;93,74%;99,99%
26.01.2011;80,30%;88,37%;96,04%;96,88%;53,00%;91,44%;83,20%;93,90%;94,19%;99,99%
27.01.2011;81,30%;90,29%;97,92%;98,44%;56,45%;93,13%;84,74%;91,02%;91,35%;99,99%
28.01.2011;81,54%;90,82%;98,75%;99,02%;57,85%;94,07%;85,20%;91,21%;91,53%;99,99%
29.01.2011;81,62%;91,24%;99,17%;99,02%;58,99%;94,45%;85,55%;91,21%;91,53%;99,99%
30.01.2011;81,93%;91,65%;99,48%;99,02%;59,71%;94,83%;85,91%;91,30%;91,62%;99,99%
31.01.2011;82,71%;93,90%;99,48%;99,02%;60,24%;95,02%;85,91%;91,48%;91,80%;99,99%
1.02.2011;83,18%;94,54%;100,00%;99,61%;60,96%;95,21%;86,20%;91,58%;91,90%;99,99%
2.02.2011;83,57%;94,92%;100,00%;99,22%;61,23%;95,21%;86,20%;91,88%;92,20%;99,99%
3.02.2011;83,88%;95,18%;100,00%;99,22%;61,59%;95,21%;86,39%;92,70%;93,00%;99,99%
4.02.2011;84,20%;95,61%;100,00%;99,02%;62,04%;95,40%;86,67%;94,02%;94,30%;99,99%
5.02.2011;84,51%;95,82%;100,00%;98,83%;62,31%;95,40%;86,67%;94,71%;94,99%;99,99%
6.02.2011;84,83%;96,09%;100,00%;98,44%;62,58%;95,40%;86,88%;94,71%;94,99%;99,99%
7.02.2011;84,99%;96,35%;100,00%;98,63%;62,67%;95,40%;87,08%;94,48%;94,76%;99,99%
8.02.2011;85,14%;96,57%;100,00%;98,24%;62,86%;95,40%;87,29%;94,02%;94,30%;99,99%
9.02.2011;85,30%;96,67%;100,00%;98,04%;63,22%;95,40%;87,29%;93,56%;93,85%;99,99%
10.02.2011;85,46%;96,72%;100,00%;97,85%;63,22%;95,40%;87,29%;94,13%;94,42%;99,99%
11.02.2011;85,54%;96,67%;100,00%;97,85%;63,31%;95,40%;87,29%;94,13%;94,42%;99,99%
12.02.2011;85,54%;96,67%;100,00%;97,46%;63,68%;95,21%;87,60%;93,79%;94,08%;99,99%
13.02.2011;85,70%;96,62%;100,00%;97,27%;63,68%;95,40%;87,60%;94,02%;94,30%;99,99%
14.02.2011;85,70%;96,57%;99,79%;97,27%;63,68%;95,40%;87,70%;93,90%;94,19%;99,99%
15.02.2011;85,70%;96,51%;99,48%;96,88%;63,86%;95,21%;87,81%;93,67%;93,96%;99,99%
16.02.2011;85,70%;96,30%;99,48%;96,68%;63,86%;95,02%;87,81%;94,02%;94,30%;99,99%
17.02.2011;85,38%;96,09%;99,69%;96,49%;63,77%;95,02%;87,92%;94,13%;94,42%;99,99%
18.02.2011;85,22%;95,87%;99,69%;96,10%;62,86%;95,02%;88,03%;94,13%;94,42%;99,99%
19.02.2011;85,22%;95,66%;99,58%;96,30%;62,86%;95,02%;88,25%;94,13%;94,42%;99,99%
20.02.2011;84,99%;95,50%;98,85%;96,30%;62,86%;95,02%;88,59%;95,16%;95,41%;99,99%
21.02.2011;84,91%;95,39%;99,17%;96,68%;62,86%;94,83%;88,36%;94,71%;94,99%;99,99%
22.02.2011;84,67%;95,23%;98,75%;96,49%;62,95%;94,83%;88,36%;93,90%;94,19%;99,99%
23.02.2011;84,67%;95,08%;98,85%;97,07%;63,13%;95,21%;88,70%;93,56%;93,85%;99,99%
24.02.2011;84,51%;94,86%;98,85%;98,44%;63,86%;95,59%;89,16%;95,07%;95,33%;99,99%
25.02.2011;84,35%;94,65%;98,96%;100,00%;65,05%;97,13%;89,64%;93,90%;94,19%;99,99%
26.02.2011;84,51%;94,81%;99,90%;100,00%;67,84%;97,70%;90,54%;93,02%;93,32%;99,99%
27.02.2011;84,99%;95,71%;99,79%;99,80%;69,83%;97,51%;90,73%;94,71%;94,99%;99,99%
28.02.2011;85,38%;96,41%;100,00%;99,61%;71,16%;97,70%;91,41%;94,71%;94,99%;99,99%
1.03.2011;85,46%;96,62%;100,00%;100,00%;72,02%;98,28%;91,91%;93,23%;93,53%;99,99%
2.03.2011;85,38%;96,67%;100,00%;100,00%;72,99%;98,85%;92,13%;93,45%;93,74%;99,99%
3.03.2011;85,38%;96,72%;100,00%;100,00%;73,57%;99,04%;92,35%;92,80%;93,11%;99,99%
4.03.2011;85,30%;96,72%;99,90%;100,00%;74,05%;99,23%;92,78%;93,13%;93,43%;99,99%
5.03.2011;85,22%;96,72%;100,00%;100,00%;74,25%;99,23%;93,47%;93,79%;94,08%;99,99%
6.03.2011;85,14%;96,62%;100,00%;100,00%;74,64%;98,28%;93,47%;94,59%;94,87%;99,99%
7.03.2011;85,06%;96,51%;100,00%;99,80%;74,93%;98,08%;93,23%;95,07%;95,33%;99,99%
8.03.2011;85,06%;96,41%;100,00%;99,80%;75,03%;98,28%;93,47%;94,71%;94,99%;99,99%
9.03.2011;85,06%;96,46%;100,00%;100,00%;75,22%;98,08%;93,70%;94,36%;94,64%;99,99%
10.03.2011;85,06%;96,57%;100,00%;99,22%;74,83%;98,28%;93,82%;93,90%;94,19%;99,99%
11.03.2011;85,06%;96,88%;100,00%;99,22%;74,93%;98,47%;93,93%;94,02%;94,30%;99,99%
12.03.2011;85,30%;97,52%;100,00%;100,00%;75,22%;98,66%;94,29%;93,56%;93,85%;99,99%
13.03.2011;85,46%;98,64%;100,00%;100,00%;75,32%;98,85%;94,42%;94,98%;95,24%;99,99%
14.03.2011;85,78%;99,98%;100,00%;100,00%;75,52%;98,85%;94,79%;94,59%;94,87%;99,99%
15.03.2011;85,94%;100,00%;100,00%;100,00%;75,62%;99,04%;94,79%;94,71%;94,99%;99,99%
16.03.2011;86,33%;100,00%;100,00%;100,00%;75,32%;99,04%;95,04%;94,48%;94,76%;99,99%
17.03.2011;86,41%;100,00%;99,79%;100,00%;75,13%;99,04%;95,17%;94,13%;94,42%;99,99%
18.03.2011;86,41%;100,00%;99,69%;100,00%;75,22%;98,28%;95,29%;93,79%;94,08%;99,99%
19.03.2011;86,41%;100,00%;100,00%;100,00%;74,25%;97,89%;95,81%;94,25%;94,53%;99,99%
20.03.2011;86,57%;100,00%;99,69%;100,00%;74,35%;98,28%;95,81%;94,36%;94,64%;99,99%
21.03.2011;86,57%;100,00%;99,79%;100,00%;74,93%;98,47%;96,10%;94,71%;94,99%;99,99%
22.03.2011;86,57%;100,00%;99,69%;100,00%;75,91%;98,66%;96,10%;94,98%;95,24%;99,99%
23.03.2011;86,57%;100,00%;99,79%;100,00%;76,21%;98,66%;96,49%;95,16%;95,41%;99,99%
24.03.2011;86,41%;100,00%;99,69%;100,00%;76,50%;98,85%;96,81%;94,98%;95,24%;99,99%
25.03.2011;86,25%;100,00%;99,90%;100,00%;76,60%;98,85%;96,92%;94,89%;95,16%;99,99%
26.03.2011;86,17%;100,00%;100,00%;100,00%;76,70%;98,85%;97,24%;95,07%;95,33%;99,99%
27.03.2011;86,02%;100,00%;99,79%;100,00%;76,80%;99,04%;97,34%;95,07%;95,33%;99,99%
28.03.2011;85,78%;100,00%;99,90%;100,00%;76,60%;99,23%;97,79%;95,25%;95,49%;99,99%
29.03.2011;85,54%;100,00%;99,79%;100,00%;76,50%;99,04%;97,34%;95,33%;95,58%;99,99%
30.03.2011;85,46%;100,00%;99,90%;100,00%;76,50%;98,85%;98,02%;95,25%;95,49%;99,99%
31.03.2011;85,38%;100,00%;99,69%;100,00%;76,30%;99,04%;97,68%;95,42%;95,66%;99,99%
1.04.2011;85,30%;100,00%;99,79%;100,00%;76,21%;99,04%;97,56%;95,25%;95,49%;99,99%
2.04.2011;85,30%;100,00%;99,90%;100,00%;76,21%;99,43%;97,79%;95,07%;95,33%;99,99%
3.04.2011;85,86%;100,00%;99,90%;100,00%;80,29%;100,00%;100,00%;97,11%;97,26%;99,99%
4.04.2011;86,25%;100,00%;99,58%;100,00%;82,61%;97,51%;100,00%;100,00%;94,76%;99,99%
5.04.2011;86,65%;100,00%;100,00%;100,00%;84,45%;97,70%;100,00%;100,00%;95,41%;99,99%
6.04.2011;87,05%;100,00%;100,00%;100,00%;85,49%;98,08%;100,00%;99,02%;94,42%;99,99%
7.04.2011;87,29%;100,00%;100,00%;100,00%;86,21%;98,28%;100,00%;97,64%;95,33%;99,99%
8.04.2011;87,45%;100,00%;99,69%;100,00%;86,73%;98,28%;100,00%;95,99%;94,99%;99,99%
9.04.2011;87,93%;100,00%;99,79%;100,00%;87,25%;98,47%;100,00%;94,80%;95,07%;99,99%
10.04.2011;88,09%;100,00%;99,79%;100,00%;87,67%;98,66%;100,00%;94,59%;94,87%;99,99%
11.04.2011;88,33%;99,99%;99,69%;100,00%;87,98%;98,47%;100,00%;94,25%;94,53%;99,99%
12.04.2011;88,50%;99,99%;99,69%;100,00%;88,19%;98,66%;99,72%;94,59%;94,87%;99,99%
13.04.2011;88,59%;99,98%;99,79%;100,00%;88,82%;98,66%;100,00%;94,48%;94,76%;99,99%
14.04.2011;88,86%;99,97%;99,79%;99,61%;89,13%;98,47%;100,00%;94,36%;94,64%;99,99%
15.04.2011;88,95%;99,81%;99,90%;100,00%;89,66%;98,66%;100,00%;94,36%;94,64%;99,99%
16.04.2011;89,04%;99,76%;99,69%;100,00%;89,97%;98,85%;100,00%;94,71%;94,99%;99,99%
17.04.2011;89,13%;99,65%;99,58%;100,00%;90,08%;98,85%;100,00%;94,80%;95,07%;99,99%
18.04.2011;89,52%;99,49%;99,58%;100,00%;90,40%;99,04%;100,00%;95,16%;95,41%;99,99%
19.04.2011;90,60%;100,00%;99,69%;100,00%;92,20%;99,23%;100,00%;95,16%;95,41%;99,99%
20.04.2011;91,25%;100,00%;99,79%;100,00%;92,84%;98,47%;100,00%;94,89%;95,16%;99,99%
21.04.2011;92,07%;100,00%;100,00%;100,00%;92,31%;98,66%;100,00%;95,07%;95,33%;99,99%
22.04.2011;92,40%;100,00%;100,00%;100,00%;92,31%;99,04%;100,00%;95,25%;95,49%;99,99%
23.04.2011;92,64%;100,00%;100,00%;100,00%;91,99%;98,85%;100,00%;95,25%;95,49%;99,99%
24.04.2011;92,89%;100,00%;100,00%;100,00%;91,78%;99,04%;100,00%;95,25%;95,49%;99,99%
25.04.2011;93,14%;100,00%;99,79%;100,00%;91,14%;98,85%;100,00%;95,16%;95,41%;99,99%
26.04.2011;93,47%;100,00%;99,69%;100,00%;90,93%;98,85%;100,00%;94,71%;94,99%;99,99%
27.04.2011;93,55%;99,99%;99,79%;100,00%;90,40%;98,85%;100,00%;95,33%;95,58%;99,99%
28.04.2011;93,80%;99,99%;100,00%;100,00%;89,97%;99,23%;99,86%;95,60%;95,83%;99,99%
29.04.2011;93,88%;99,99%;99,69%;100,00%;89,55%;98,85%;99,86%;95,60%;95,83%;99,99%
30.04.2011;93,96%;99,97%;99,79%;100,00%;89,45%;98,85%;99,86%;95,60%;95,83%;99,99%
1.05.2011;94,13%;99,76%;99,79%;100,00%;88,82%;98,85%;99,72%;95,60%;95,83%;99,99%
2.05.2011;94,29%;99,65%;100,00%;99,80%;89,45%;98,85%;99,72%;95,60%;95,83%;99,99%
3.05.2011;94,37%;99,39%;99,69%;99,80%;88,92%;98,85%;99,44%;95,60%;95,83%;99,99%
4.05.2011;94,37%;99,28%;100,00%;99,61%;89,03%;99,23%;99,58%;96,58%;96,76%;99,99%
5.05.2011;94,46%;99,12%;100,00%;100,00%;90,29%;99,81%;100,00%;96,79%;96,96%;99,99%
6.05.2011;94,46%;99,01%;99,90%;99,61%;91,88%;98,08%;100,00%;97,00%;97,16%;99,99%
7.05.2011;94,37%;98,80%;100,00%;100,00%;96,72%;98,08%;100,00%;97,11%;97,26%;99,99%
8.05.2011;94,46%;98,64%;100,00%;99,80%;96,72%;98,08%;100,00%;97,11%;97,26%;99,99%
9.05.2011;94,13%;98,37%;99,90%;99,41%;96,18%;98,08%;99,86%;96,79%;96,96%;99,99%
10.05.2011;93,96%;98,21%;99,79%;99,22%;95,42%;98,28%;99,72%;96,69%;96,86%;99,99%
11.05.2011;93,88%;98,00%;99,90%;99,41%;95,20%;97,70%;99,72%;96,58%;96,76%;99,99%
12.05.2011;93,71%;97,79%;99,69%;99,41%;94,67%;97,70%;99,44%;96,39%;96,57%;99,99%
13.05.2011;93,55%;97,52%;99,90%;99,22%;94,13%;97,51%;99,30%;96,19%;96,39%;99,99%
14.05.2011;93,38%;97,31%;99,69%;98,63%;93,59%;97,70%;99,02%;96,09%;96,30%;99,99%
15.05.2011;93,14%;96,99%;99,58%;98,04%;93,38%;97,70%;98,87%;96,09%;96,30%;99,99%
16.05.2011;92,97%;96,72%;99,58%;98,24%;93,27%;97,70%;98,87%;96,19%;96,39%;99,99%
17.05.2011;92,81%;96,62%;99,48%;98,24%;93,27%;97,51%;98,59%;96,39%;96,57%;99,99%
18.05.2011;92,56%;96,51%;99,58%;97,85%;93,27%;96,74%;98,36%;96,48%;96,67%;99,99%
19.05.2011;92,31%;96,41%;99,48%;97,66%;93,27%;96,74%;98,13%;96,58%;96,76%;99,99%
20.05.2011;92,15%;96,30%;99,17%;97,27%;93,27%;96,74%;98,02%;96,79%;96,96%;99,99%
21.05.2011;92,07%;96,14%;98,54%;97,07%;93,27%;96,74%;97,79%;97,11%;97,26%;99,99%
22.05.2011;91,82%;96,09%;98,23%;96,88%;93,27%;96,55%;97,68%;97,32%;97,46%;99,99%
23.05.2011;91,66%;95,87%;98,02%;96,49%;93,27%;95,98%;97,45%;97,64%;97,76%;99,99%
24.05.2011;91,41%;95,71%;97,40%;95,91%;93,27%;95,79%;97,45%;97,87%;97,98%;99,99%
25.05.2011;91,17%;95,66%;97,50%;96,10%;93,27%;95,59%;97,24%;100,00%;98,30%;99,99%
26.05.2011;90,92%;95,45%;96,88%;95,52%;93,27%;95,79%;97,13%;98,44%;98,52%;99,99%
27.05.2011;90,68%;95,29%;95,94%;95,33%;93,27%;95,59%;96,92%;98,67%;98,73%;99,99%
28.05.2011;90,52%;95,18%;95,10%;94,94%;93,27%;95,02%;96,60%;99,02%;99,07%;99,99%
29.05.2011;90,44%;95,02%;94,71%;94,75%;93,27%;95,02%;96,39%;99,15%;99,19%;99,99%
30.05.2011;90,27%;94,92%;95,10%;94,36%;93,27%;94,45%;96,29%;99,39%;99,42%;99,99%
31.05.2011;90,11%;94,76%;94,90%;93,98%;93,27%;94,45%;96,19%;99,63%;99,65%;99,99%
1.06.2011;89,88%;94,60%;94,38%;93,59%;93,27%;94,07%;95,90%;99,76%;99,77%;99,99%
2.06.2011;89,81%;94,33%;93,96%;93,40%;93,27%;93,69%;95,61%;99,88%;99,88%;99,99%
3.06.2011;89,67%;94,22%;93,88%;93,02%;93,27%;93,50%;95,52%;100,00%;100,00%;99,99%
4.06.2011;89,59%;94,12%;93,46%;93,02%;93,16%;93,50%;95,04%;100,00%;100,00%;99,99%
5.06.2011;89,38%;94,01%;93,46%;92,63%;93,06%;93,13%;94,79%;100,00%;100,00%;99,99%
6.06.2011;89,22%;93,85%;93,04%;92,06%;92,84%;92,94%;94,67%;100,00%;100,00%;99,99%
7.06.2011;89,04%;93,59%;92,71%;91,68%;92,52%;92,75%;94,17%;100,00%;100,00%;99,99%
8.06.2011;88,95%;93,48%;92,29%;91,30%;91,99%;92,37%;93,93%;100,00%;100,00%;99,99%
9.06.2011;88,86%;93,32%;92,21%;90,92%;91,78%;92,19%;93,82%;100,00%;100,00%;99,99%
10.06.2011;88,68%;93,11%;92,04%;90,34%;91,35%;92,19%;93,70%;100,00%;100,00%;99,99%
11.06.2011;88,50%;92,95%;91,46%;89,96%;90,93%;93,13%;93,35%;100,00%;100,00%;99,99%
12.06.2011;88,50%;92,84%;91,63%;89,96%;90,71%;94,07%;93,11%;100,00%;100,00%;99,99%
13.06.2011;88,59%;92,73%;92,04%;89,40%;90,29%;91,44%;92,89%;100,00%;100,00%;99,99%
14.06.2011;88,59%;92,57%;91,96%;88,83%;90,08%;91,81%;92,56%;100,00%;100,00%;99,99%
15.06.2011;88,33%;92,57%;92,21%;88,83%;89,87%;91,81%;92,35%;99,76%;99,77%;99,99%
16.06.2011;88,01%;92,57%;91,63%;88,26%;89,45%;91,44%;92,13%;99,76%;99,77%;99,99%
17.06.2011;87,93%;92,57%;91,88%;87,88%;89,34%;91,25%;92,13%;99,63%;99,65%;99,99%
18.06.2011;87,61%;92,35%;92,04%;87,32%;89,13%;91,06%;91,91%;99,63%;99,65%;99,99%
19.06.2011;87,37%;92,17%;91,63%;86,94%;88,61%;90,68%;91,71%;99,76%;99,77%;99,99%
20.06.2011;87,13%;91,89%;91,29%;86,56%;88,40%;90,50%;91,71%;99,88%;99,88%;99,99%
21.06.2011;86,89%;91,70%;90,79%;86,19%;88,08%;90,31%;91,31%;100,00%;100,00%;99,99%
22.06.2011;86,65%;91,55%;90,38%;85,44%;87,77%;89,93%;91,01%;100,00%;100,00%;99,99%
23.06.2011;86,25%;91,46%;90,13%;85,07%;87,25%;89,74%;90,82%;100,00%;100,00%;99,99%
24.06.2011;86,02%;91,30%;89,79%;84,88%;86,94%;89,37%;90,64%;100,00%;100,00%;99,99%
25.06.2011;85,70%;91,03%;89,46%;84,51%;86,42%;88,81%;90,45%;100,00%;100,00%;99,99%
26.06.2011;85,54%;90,82%;89,13%;83,95%;85,90%;88,62%;90,27%;100,00%;100,00%;99,99%
27.06.2011;85,22%;90,66%;89,21%;83,76%;85,28%;88,62%;89,99%;100,00%;100,00%;99,99%
28.06.2011;85,06%;90,55%;88,79%;83,20%;85,17%;88,81%;89,64%;100,00%;100,00%;99,99%
29.06.2011;84,91%;90,29%;88,46%;83,02%;84,56%;88,24%;89,40%;100,00%;100,00%;99,99%
30.06.2011;85,06%;90,13%;88,46%;82,46%;84,15%;87,30%;89,28%;100,00%;100,00%;99,99%
1.07.2011;85,06%;89,91%;87,71%;82,09%;83,74%;87,49%;89,16%;100,00%;100,00%;99,99%
2.07.2011;84,67%;89,81%;88,04%;82,09%;82,61%;87,87%;88,93%;100,00%;100,00%;99,99%
3.07.2011;84,35%;89,65%;87,79%;81,91%;82,41%;88,05%;88,81%;100,00%;100,00%;99,99%
4.07.2011;84,04%;89,43%;87,29%;81,54%;81,90%;87,68%;88,59%;100,00%;100,00%;99,99%
5.07.2011;83,72%;89,12%;87,38%;80,98%;81,70%;87,30%;88,25%;100,00%;100,00%;99,99%
6.07.2011;83,41%;88,80%;86,88%;80,80%;81,29%;86,93%;88,14%;100,00%;100,00%;99,99%
7.07.2011;83,10%;88,37%;86,31%;80,25%;80,99%;86,74%;87,70%;100,00%;100,00%;99,99%
8.07.2011;82,71%;88,05%;85,58%;79,70%;80,59%;86,17%;87,60%;100,00%;100,00%;99,99%
9.07.2011;82,39%;87,68%;85,51%;79,51%;80,29%;85,80%;87,49%;100,00%;100,00%;99,99%
10.07.2011;82,00%;87,36%;85,22%;79,15%;79,88%;85,61%;87,19%;100,00%;100,00%;99,99%
11.07.2011;81,69%;86,99%;85,07%;78,78%;79,48%;85,24%;86,98%;100,00%;100,00%;99,99%
12.07.2011;81,38%;86,61%;84,85%;78,05%;79,08%;85,05%;86,78%;100,00%;100,00%;99,99%
13.07.2011;81,07%;86,24%;84,27%;77,87%;78,68%;84,67%;86,67%;100,00%;100,00%;99,99%
14.07.2011;80,76%;85,82%;84,27%;77,51%;78,29%;84,48%;86,29%;100,00%;100,00%;99,99%
15.07.2011;80,38%;85,50%;83,76%;76,96%;77,99%;84,11%;86,20%;100,00%;100,00%;99,99%
16.07.2011;80,07%;85,23%;83,32%;76,60%;77,59%;83,92%;85,91%;100,00%;100,00%;99,99%
17.07.2011;79,76%;84,75%;83,03%;76,05%;77,19%;83,54%;85,72%;100,00%;100,00%;99,99%
18.07.2011;79,45%;84,38%;82,45%;75,33%;76,80%;83,36%;85,72%;100,00%;100,00%;99,99%
19.07.2011;79,14%;84,01%;82,45%;75,15%;76,11%;82,79%;85,38%;100,00%;100,00%;99,99%
20.07.2011;78,84%;83,63%;82,45%;74,61%;75,62%;82,61%;85,20%;100,00%;100,00%;99,99%
21.07.2011;78,45%;83,32%;82,01%;74,07%;75,42%;82,23%;84,94%;100,00%;100,00%;99,99%
22.07.2011;78,15%;82,84%;81,65%;73,71%;74,83%;82,04%;84,52%;100,00%;100,00%;99,99%
23.07.2011;77,84%;82,52%;81,21%;73,35%;74,44%;81,67%;84,40%;100,00%;100,00%;99,99%
24.07.2011;77,53%;82,15%;80,77%;72,64%;74,05%;81,48%;84,06%;100,00%;100,00%;99,99%
25.07.2011;77,23%;81,72%;80,26%;72,10%;73,57%;81,10%;83,84%;100,00%;100,00%;99,99%
26.07.2011;76,93%;81,45%;80,26%;71,74%;73,18%;80,73%;83,51%;100,00%;100,00%;99,99%
27.07.2011;76,62%;81,03%;79,75%;71,39%;72,79%;80,35%;83,20%;100,00%;100,00%;99,99%
28.07.2011;76,24%;80,60%;79,31%;70,86%;72,41%;80,16%;83,09%;100,00%;100,00%;99,99%
29.07.2011;75,94%;80,23%;79,24%;70,15%;71,83%;79,79%;82,88%;100,00%;100,00%;99,99%
30.07.2011;75,64%;79,91%;79,04%;69,79%;71,54%;79,41%;82,78%;100,00%;100,00%;99,99%
31.07.2011;75,33%;79,48%;78,79%;69,44%;71,16%;79,04%;82,38%;100,00%;100,00%;99,99%
1.08.2011;75,03%;79,06%;78,54%;68,91%;70,68%;78,66%;81,89%;100,00%;100,00%;99,99%
2.08.2011;75,03%;78,74%;77,92%;68,56%;69,73%;78,28%;81,79%;100,00%;100,00%;99,96%
3.08.2011;74,58%;78,47%;77,54%;67,86%;69,26%;78,28%;81,60%;100,00%;100,00%;99,92%
4.08.2011;74,21%;78,15%;77,23%;67,51%;69,07%;77,91%;81,15%;100,00%;100,00%;96,88%
5.08.2011;73,91%;77,78%;76,98%;67,15%;68,60%;77,35%;81,06%;100,00%;100,00%;92,79%
6.08.2011;73,61%;77,46%;76,79%;66,63%;68,03%;76,97%;80,88%;100,00%;100,00%;88,28%
7.08.2011;73,31%;77,14%;76,67%;66,45%;67,66%;76,59%;80,54%;100,00%;100,00%;85,27%
8.08.2011;72,93%;76,88%;76,23%;66,11%;67,19%;76,41%;80,37%;99,76%;100,00%;81,68%
9.08.2011;72,64%;76,56%;75,79%;65,76%;66,72%;76,22%;80,21%;99,51%;100,00%;77,69%
10.08.2011;72,26%;76,24%;75,48%;65,41%;66,44%;75,65%;79,74%;99,51%;99,88%;73,67%
11.08.2011;72,04%;76,03%;75,29%;65,24%;65,98%;75,65%;79,53%;99,51%;100,00%;69,30%
12.08.2011;71,89%;75,92%;75,29%;65,93%;65,89%;75,47%;79,74%;99,63%;100,00%;63,58%
13.08.2011;71,74%;75,76%;75,29%;65,24%;65,89%;75,28%;79,31%;99,63%;99,88%;63,55%
14.08.2011;71,60%;75,39%;75,17%;64,89%;65,89%;74,92%;79,10%;99,88%;99,88%;63,56%
15.08.2011;71,37%;75,12%;74,73%;64,37%;65,52%;74,73%;78,99%;99,88%;99,88%;61,90%
16.08.2011;71,08%;74,80%;74,54%;64,20%;65,05%;74,55%;78,89%;99,63%;99,65%;59,50%
17.08.2011;71,00%;74,54%;74,04%;63,85%;64,78%;74,18%;78,58%;99,39%;99,42%;57,67%
18.08.2011;70,86%;74,27%;73,54%;63,50%;64,41%;73,63%;78,48%;99,15%;99,19%;56,60%
19.08.2011;70,71%;74,00%;73,10%;63,16%;63,31%;72,90%;78,08%;98,90%;98,96%;55,55%
20.08.2011;70,56%;73,58%;73,17%;62,99%;62,95%;72,71%;77,78%;98,67%;98,73%;54,39%
21.08.2011;70,41%;73,31%;72,42%;62,47%;62,58%;72,71%;77,47%;98,32%;98,41%;52,78%
22.08.2011;70,27%;72,99%;72,48%;62,13%;62,22%;71,80%;77,15%;97,64%;97,76%;51,95%
23.08.2011;69,97%;72,67%;71,73%;61,96%;61,77%;71,61%;76,84%;97,11%;97,26%;51,14%
24.08.2011;69,68%;72,41%;71,67%;61,61%;61,41%;71,25%;76,69%;96,58%;96,76%;50,28%
25.08.2011;69,53%;72,14%;71,23%;61,27%;61,05%;71,25%;76,47%;96,09%;96,30%;48,84%
26.08.2011;69,31%;71,77%;71,04%;60,93%;60,69%;70,33%;76,39%;95,80%;96,02%;48,10%
27.08.2011;69,09%;71,61%;70,85%;60,42%;60,24%;69,96%;76,17%;95,42%;95,66%;47,10%
28.08.2011;68,80%;71,24%;70,54%;60,08%;59,88%;69,78%;76,01%;95,07%;95,33%;45,98%
29.08.2011;68,58%;70,92%;70,35%;59,91%;59,53%;69,59%;75,78%;94,59%;94,87%;44,89%
30.08.2011;68,29%;70,60%;69,85%;59,74%;58,99%;69,04%;75,54%;94,02%;94,30%;43,91%
31.08.2011;68,07%;70,28%;69,73%;59,40%;58,64%;68,86%;75,38%;93,45%;93,74%;42,99%
